"Housing characteristics";"Regions";"Periods";"Average consumption of natural gas (m3)";"Average supply of electricity (kWh)";"Average net supply of electricity (kWh)";"District heating (%)"
"Total dwellings";"Groningen (PV)";"2015";"    1500";"    2760";"";"     0.6"
"Total dwellings";"Fryslân (PV)";"2015";"    1450";"    2730";"";"     0.7"
"Total dwellings";"Drenthe (PV)";"2015";"    1600";"    3110";"";"     0.1"
"Total dwellings";"Overijssel (PV)";"2015";"    1390";"    3130";"";"     2.8"
"Total dwellings";"Flevoland (PV)";"2015";"     760";"    3270";"";"    33.1"
"Total dwellings";"Gelderland (PV)";"2015";"    1390";"    3130";"";"     2.9"
"Total dwellings";"Utrecht (PV)";"2015";"    1150";"    3020";"";"    11.9"
"Total dwellings";"Noord-Holland (PV)";"2015";"    1140";"    2740";"";"     6.0"
"Total dwellings";"Zuid-Holland (PV)";"2015";"    1090";"    2810";"";"     6.6"
"Total dwellings";"Zeeland (PV)";"2015";"    1330";"    2800";"";"     0.5"
"Total dwellings";"Noord-Brabant (PV)";"2015";"    1340";"    3290";"";"     5.5"
"Total dwellings";"Limburg (PV)";"2015";"    1450";"    3170";"";"     1.0"
"Apartment";"Groningen (PV)";"2015";"    1040";"    1940";"";"       ."
"Apartment";"Fryslân (PV)";"2015";"     910";"    1790";"";"       ."
"Apartment";"Drenthe (PV)";"2015";"     950";"    1990";"";"       ."
"Apartment";"Overijssel (PV)";"2015";"     860";"    2110";"";"       ."
"Apartment";"Flevoland (PV)";"2015";"     410";"    2160";"";"       ."
"Apartment";"Gelderland (PV)";"2015";"     910";"    2140";"";"       ."
"Apartment";"Utrecht (PV)";"2015";"     680";"    2150";"";"       ."
"Apartment";"Noord-Holland (PV)";"2015";"     860";"    2080";"";"       ."
"Apartment";"Zuid-Holland (PV)";"2015";"     860";"    2170";"";"       ."
"Apartment";"Zeeland (PV)";"2015";"     850";"    1990";"";"       ."
"Apartment";"Noord-Brabant (PV)";"2015";"     760";"    2150";"";"       ."
"Apartment";"Limburg (PV)";"2015";"     900";"    2100";"";"       ."
"Owner-occupied house";"Groningen (PV)";"2015";"    1730";"    3250";"";"       ."
"Owner-occupied house";"Fryslân (PV)";"2015";"    1640";"    3130";"";"       ."
"Owner-occupied house";"Drenthe (PV)";"2015";"    1780";"    3510";"";"       ."
"Owner-occupied house";"Overijssel (PV)";"2015";"    1600";"    3610";"";"       ."
"Owner-occupied house";"Flevoland (PV)";"2015";"     860";"    3640";"";"       ."
"Owner-occupied house";"Gelderland (PV)";"2015";"    1600";"    3590";"";"       ."
"Owner-occupied house";"Utrecht (PV)";"2015";"    1380";"    3490";"";"       ."
"Owner-occupied house";"Noord-Holland (PV)";"2015";"    1390";"    3300";"";"       ."
"Owner-occupied house";"Zuid-Holland (PV)";"2015";"    1280";"    3330";"";"       ."
"Owner-occupied house";"Zeeland (PV)";"2015";"    1470";"    3150";"";"       ."
"Owner-occupied house";"Noord-Brabant (PV)";"2015";"    1560";"    3780";"";"       ."
"Owner-occupied house";"Limburg (PV)";"2015";"    1680";"    3700";"";"       ."
