"Housing characteristics";"Regions";"Periods";"Average consumption of natural gas (m3)";"Average supply of electricity (kWh)";"Average net supply of electricity (kWh)";"District heating (%)"
"Total dwellings";"Groningen (PV)";"2015";"    1500";"    2760";"";"     0.6"
"Total dwellings";"Groningen (PV)";"2016";"    1570";"    2690";"";"     0.6"
"Total dwellings";"Groningen (PV)";"2017";"    1480";"    2640";"";"     0.6"
"Total dwellings";"Groningen (PV)";"2018";"    1510";"    2580";"";"       ."
"Total dwellings";"Groningen (PV)";"2019";"    1350";"    2450";"";"     0.9"
"Total dwellings";"Groningen (PV)";"2020";"    1320";"    2530";"";"       ."
"Total dwellings";"Groningen (PV)";"2021";"    1460";"    2570";"    2170";"       ."
"Total dwellings";"Groningen (PV)";"2022*";"    1140";"    2440";"    1910";"       ."
"Total dwellings";"Fryslân (PV)";"2015";"    1450";"    2730";"";"     0.7"
"Total dwellings";"Fryslân (PV)";"2016";"    1520";"    2640";"";"     0.7"
"Total dwellings";"Fryslân (PV)";"2017";"    1430";"    2570";"";"     0.7"
"Total dwellings";"Fryslân (PV)";"2018";"    1470";"    2490";"";"       ."
"Total dwellings";"Fryslân (PV)";"2019";"    1350";"    2540";"";"     0.7"
"Total dwellings";"Fryslân (PV)";"2020";"    1310";"    2630";"";"       ."
"Total dwellings";"Fryslân (PV)";"2021";"    1460";"    2680";"    2240";"       ."
"Total dwellings";"Fryslân (PV)";"2022*";"    1140";"    2520";"    1930";"       ."
"Total dwellings";"Drenthe (PV)";"2015";"    1600";"    3110";"";"     0.1"
"Total dwellings";"Drenthe (PV)";"2016";"    1680";"    3050";"";"     0.2"
"Total dwellings";"Drenthe (PV)";"2017";"    1590";"    2980";"";"     0.2"
"Total dwellings";"Drenthe (PV)";"2018";"    1610";"    2910";"";"       ."
"Total dwellings";"Drenthe (PV)";"2019";"    1480";"    2810";"";"     0.2"
"Total dwellings";"Drenthe (PV)";"2020";"    1400";"    2840";"";"       ."
"Total dwellings";"Drenthe (PV)";"2021";"    1560";"    2890";"    2360";"       ."
"Total dwellings";"Drenthe (PV)";"2022*";"    1230";"    2750";"    2050";"       ."
"Total dwellings";"Overijssel (PV)";"2015";"    1390";"    3130";"";"     2.8"
"Total dwellings";"Overijssel (PV)";"2016";"    1430";"    3070";"";"     3.0"
"Total dwellings";"Overijssel (PV)";"2017";"    1390";"    3010";"";"     3.1"
"Total dwellings";"Overijssel (PV)";"2018";"    1410";"    2940";"";"       ."
"Total dwellings";"Overijssel (PV)";"2019";"    1280";"    2850";"";"     3.3"
"Total dwellings";"Overijssel (PV)";"2020";"    1220";"    2870";"";"     3.3"
"Total dwellings";"Overijssel (PV)";"2021";"    1400";"    2930";"    2540";"     3.2"
"Total dwellings";"Overijssel (PV)";"2022*";"    1100";"    2770";"    2220";"     3.2"
"Total dwellings";"Flevoland (PV)";"2015";"     760";"    3270";"";"    33.1"
"Total dwellings";"Flevoland (PV)";"2016";"     850";"    3140";"";"    33.0"
"Total dwellings";"Flevoland (PV)";"2017";"     810";"    3050";"";"    32.7"
"Total dwellings";"Flevoland (PV)";"2018";"     830";"    2930";"";"       ."
"Total dwellings";"Flevoland (PV)";"2019";"     770";"    2950";"";"    33.0"
"Total dwellings";"Flevoland (PV)";"2020";"     760";"    3010";"";"    33.6"
"Total dwellings";"Flevoland (PV)";"2021";"     850";"    3040";"    2660";"    33.3"
"Total dwellings";"Flevoland (PV)";"2022*";"     670";"    2880";"    2340";"    32.7"
"Total dwellings";"Gelderland (PV)";"2015";"    1390";"    3130";"";"     2.9"
"Total dwellings";"Gelderland (PV)";"2016";"    1440";"    3030";"";"     2.9"
"Total dwellings";"Gelderland (PV)";"2017";"    1390";"    2950";"";"     2.8"
"Total dwellings";"Gelderland (PV)";"2018";"    1400";"    2850";"";"       ."
"Total dwellings";"Gelderland (PV)";"2019";"    1290";"    2850";"";"     3.7"
"Total dwellings";"Gelderland (PV)";"2020";"    1220";"    2910";"";"     3.8"
"Total dwellings";"Gelderland (PV)";"2021";"    1370";"    2950";"    2560";"     3.9"
"Total dwellings";"Gelderland (PV)";"2022*";"    1080";"    2790";"    2260";"     4.1"
"Total dwellings";"Utrecht (PV)";"2015";"    1150";"    3020";"";"    11.9"
"Total dwellings";"Utrecht (PV)";"2016";"    1200";"    2980";"";"    12.0"
"Total dwellings";"Utrecht (PV)";"2017";"    1140";"    2930";"";"    12.0"
"Total dwellings";"Utrecht (PV)";"2018";"    1160";"    2850";"";"       ."
"Total dwellings";"Utrecht (PV)";"2019";"    1070";"    2750";"";"    12.4"
"Total dwellings";"Utrecht (PV)";"2020";"    1020";"    2760";"";"    12.6"
"Total dwellings";"Utrecht (PV)";"2021";"    1150";"    2830";"    2540";"    12.4"
"Total dwellings";"Utrecht (PV)";"2022*";"     890";"    2650";"    2250";"    12.4"
"Total dwellings";"Noord-Holland (PV)";"2015";"    1140";"    2740";"";"     6.0"
"Total dwellings";"Noord-Holland (PV)";"2016";"    1190";"    2680";"";"     6.2"
"Total dwellings";"Noord-Holland (PV)";"2017";"    1130";"    2620";"";"     6.5"
"Total dwellings";"Noord-Holland (PV)";"2018";"    1160";"    2550";"";"       ."
"Total dwellings";"Noord-Holland (PV)";"2019";"    1070";"    2520";"";"     7.5"
"Total dwellings";"Noord-Holland (PV)";"2020";"    1020";"    2550";"";"     8.1"
"Total dwellings";"Noord-Holland (PV)";"2021";"    1150";"    2600";"    2390";"     8.1"
"Total dwellings";"Noord-Holland (PV)";"2022*";"     900";"    2430";"    2160";"     8.4"
"Total dwellings";"Zuid-Holland (PV)";"2015";"    1090";"    2810";"";"     6.6"
"Total dwellings";"Zuid-Holland (PV)";"2016";"    1120";"    2770";"";"     6.7"
"Total dwellings";"Zuid-Holland (PV)";"2017";"    1080";"    2730";"";"     6.7"
"Total dwellings";"Zuid-Holland (PV)";"2018";"    1100";"    2670";"";"       ."
"Total dwellings";"Zuid-Holland (PV)";"2019";"    1020";"    2590";"";"     7.1"
"Total dwellings";"Zuid-Holland (PV)";"2020";"     980";"    2620";"";"     7.6"
"Total dwellings";"Zuid-Holland (PV)";"2021";"    1100";"    2680";"    2480";"     7.6"
"Total dwellings";"Zuid-Holland (PV)";"2022*";"     850";"    2520";"    2240";"     7.7"
"Total dwellings";"Zeeland (PV)";"2015";"    1330";"    2800";"";"     0.5"
"Total dwellings";"Zeeland (PV)";"2016";"    1360";"    2740";"";"     0.5"
"Total dwellings";"Zeeland (PV)";"2017";"    1280";"    2670";"";"     0.5"
"Total dwellings";"Zeeland (PV)";"2018";"    1310";"    2600";"";"       ."
"Total dwellings";"Zeeland (PV)";"2019";"    1220";"    2520";"";"     0.4"
"Total dwellings";"Zeeland (PV)";"2020";"    1170";"    2540";"";"       ."
"Total dwellings";"Zeeland (PV)";"2021";"    1330";"    2710";"    2290";"       ."
"Total dwellings";"Zeeland (PV)";"2022*";"    1050";"    2570";"    1990";"       ."
"Total dwellings";"Noord-Brabant (PV)";"2015";"    1340";"    3290";"";"     5.5"
"Total dwellings";"Noord-Brabant (PV)";"2016";"    1380";"    3230";"";"     5.5"
"Total dwellings";"Noord-Brabant (PV)";"2017";"    1320";"    3190";"";"     5.5"
"Total dwellings";"Noord-Brabant (PV)";"2018";"    1340";"    3120";"";"       ."
"Total dwellings";"Noord-Brabant (PV)";"2019";"    1250";"    3010";"";"     5.7"
"Total dwellings";"Noord-Brabant (PV)";"2020";"    1180";"    3020";"";"     5.9"
"Total dwellings";"Noord-Brabant (PV)";"2021";"    1320";"    3060";"    2660";"     5.8"
"Total dwellings";"Noord-Brabant (PV)";"2022*";"    1030";"    2870";"    2340";"     5.6"
"Total dwellings";"Limburg (PV)";"2015";"    1450";"    3170";"";"     1.0"
"Total dwellings";"Limburg (PV)";"2016";"    1510";"    3110";"";"     1.0"
"Total dwellings";"Limburg (PV)";"2017";"    1450";"    3080";"";"     1.0"
"Total dwellings";"Limburg (PV)";"2018";"    1450";"    3000";"";"       ."
"Total dwellings";"Limburg (PV)";"2019";"    1350";"    2900";"";"     1.1"
"Total dwellings";"Limburg (PV)";"2020";"    1270";"    2910";"";"       ."
"Total dwellings";"Limburg (PV)";"2021";"    1430";"    2940";"    2460";"       ."
"Total dwellings";"Limburg (PV)";"2022*";"    1120";"    2800";"    2180";"       ."
"Apartment";"Groningen (PV)";"2015";"    1040";"    1940";"";"       ."
"Apartment";"Groningen (PV)";"2016";"    1080";"    1910";"";"       ."
"Apartment";"Groningen (PV)";"2017";"    1030";"    1900";"";""
"Apartment";"Groningen (PV)";"2018";"    1030";"    1860";"";"       ."
"Apartment";"Groningen (PV)";"2019";"     940";"    1810";"";""
"Apartment";"Groningen (PV)";"2020";"     870";"    1800";"";"       ."
"Apartment";"Groningen (PV)";"2021";"     960";"    1840";"    1800";"       ."
"Apartment";"Groningen (PV)";"2022*";"     770";"    1780";"    1730";"       ."
"Apartment";"Fryslân (PV)";"2015";"     910";"    1790";"";"       ."
"Apartment";"Fryslân (PV)";"2016";"     940";"    1740";"";"       ."
"Apartment";"Fryslân (PV)";"2017";"     910";"    1720";"";""
"Apartment";"Fryslân (PV)";"2018";"     900";"    1700";"";"       ."
"Apartment";"Fryslân (PV)";"2019";"     840";"    1670";"";""
"Apartment";"Fryslân (PV)";"2020";"     810";"    1740";"";"       ."
"Apartment";"Fryslân (PV)";"2021";"     900";"    1800";"    1730";"       ."
"Apartment";"Fryslân (PV)";"2022*";"     720";"    1740";"    1640";"       ."
"Apartment";"Drenthe (PV)";"2015";"     950";"    1990";"";"       ."
"Apartment";"Drenthe (PV)";"2016";"     990";"    1920";"";"       ."
"Apartment";"Drenthe (PV)";"2017";"     950";"    1890";"";""
"Apartment";"Drenthe (PV)";"2018";"     930";"    1860";"";"       ."
"Apartment";"Drenthe (PV)";"2019";"     860";"    1830";"";""
"Apartment";"Drenthe (PV)";"2020";"     840";"    1870";"";"       ."
"Apartment";"Drenthe (PV)";"2021";"     940";"    1910";"    1830";"       ."
