"Sector/branches (SIC 2008)";"Periods";"Regions";"Fixed capital formation (million euros)"
"A-U All economic activities";"2015";"Groningen (PV)";"    5666"
"A-U All economic activities";"2016";"Groningen (PV)";"    5271"
"A-U All economic activities";"2017";"Groningen (PV)";"    4745"
"A-U All economic activities";"2018";"Groningen (PV)";"    5777"
"A-U All economic activities";"2019";"Groningen (PV)";"    6313"
"A-U All economic activities";"2020";"Groningen (PV)";"    6544"
"A-U All economic activities";"2021";"Groningen (PV)";"    6360"
"A-U All economic activities";"2015";"Fryslân (PV)";"    4246"
"A-U All economic activities";"2016";"Fryslân (PV)";"    4158"
"A-U All economic activities";"2017";"Fryslân (PV)";"    4255"
"A-U All economic activities";"2018";"Fryslân (PV)";"    4525"
"A-U All economic activities";"2019";"Fryslân (PV)";"    4827"
"A-U All economic activities";"2020";"Fryslân (PV)";"    5060"
"A-U All economic activities";"2021";"Fryslân (PV)";"    5621"
"A-U All economic activities";"2015";"Drenthe (PV)";"    2915"
"A-U All economic activities";"2016";"Drenthe (PV)";"    2999"
"A-U All economic activities";"2017";"Drenthe (PV)";"    2755"
"A-U All economic activities";"2018";"Drenthe (PV)";"    3236"
"A-U All economic activities";"2019";"Drenthe (PV)";"    3194"
"A-U All economic activities";"2020";"Drenthe (PV)";"    3388"
"A-U All economic activities";"2021";"Drenthe (PV)";"    4004"
"A-U All economic activities";"2015";"Overijssel (PV)";"    7444"
"A-U All economic activities";"2016";"Overijssel (PV)";"    7766"
"A-U All economic activities";"2017";"Overijssel (PV)";"    7595"
"A-U All economic activities";"2018";"Overijssel (PV)";"    8715"
"A-U All economic activities";"2019";"Overijssel (PV)";"    9049"
"A-U All economic activities";"2020";"Overijssel (PV)";"    9197"
"A-U All economic activities";"2021";"Overijssel (PV)";"   10738"
"A-U All economic activities";"2015";"Flevoland (PV)";"    3684"
"A-U All economic activities";"2016";"Flevoland (PV)";"    3305"
"A-U All economic activities";"2017";"Flevoland (PV)";"    3750"
"A-U All economic activities";"2018";"Flevoland (PV)";"    4036"
"A-U All economic activities";"2019";"Flevoland (PV)";"    4716"
"A-U All economic activities";"2020";"Flevoland (PV)";"    3918"
"A-U All economic activities";"2021";"Flevoland (PV)";"    4701"
"A-U All economic activities";"2015";"Gelderland (PV)";"   13044"
"A-U All economic activities";"2016";"Gelderland (PV)";"   13721"
"A-U All economic activities";"2017";"Gelderland (PV)";"   14120"
"A-U All economic activities";"2018";"Gelderland (PV)";"   16848"
"A-U All economic activities";"2019";"Gelderland (PV)";"   17188"
"A-U All economic activities";"2020";"Gelderland (PV)";"   18247"
"A-U All economic activities";"2021";"Gelderland (PV)";"   19471"
"A-U All economic activities";"2015";"Utrecht (PV)";"   12406"
"A-U All economic activities";"2016";"Utrecht (PV)";"   13391"
"A-U All economic activities";"2017";"Utrecht (PV)";"   13799"
"A-U All economic activities";"2018";"Utrecht (PV)";"   16289"
"A-U All economic activities";"2019";"Utrecht (PV)";"   17162"
"A-U All economic activities";"2020";"Utrecht (PV)";"   16443"
"A-U All economic activities";"2021";"Utrecht (PV)";"   17349"
"A-U All economic activities";"2015";"Noord-Holland (PV)";"   25760"
"A-U All economic activities";"2016";"Noord-Holland (PV)";"   30353"
"A-U All economic activities";"2017";"Noord-Holland (PV)";"   32747"
"A-U All economic activities";"2018";"Noord-Holland (PV)";"   31330"
"A-U All economic activities";"2019";"Noord-Holland (PV)";"   35014"
"A-U All economic activities";"2020";"Noord-Holland (PV)";"   34414"
"A-U All economic activities";"2021";"Noord-Holland (PV)";"   35991"
"A-U All economic activities";"2015";"Zuid-Holland (PV)";"   59793"
"A-U All economic activities";"2016";"Zuid-Holland (PV)";"   32261"
"A-U All economic activities";"2017";"Zuid-Holland (PV)";"   34005"
"A-U All economic activities";"2018";"Zuid-Holland (PV)";"   34872"
"A-U All economic activities";"2019";"Zuid-Holland (PV)";"   40618"
"A-U All economic activities";"2020";"Zuid-Holland (PV)";"   40966"
"A-U All economic activities";"2021";"Zuid-Holland (PV)";"   42756"
"A-U All economic activities";"2015";"Zeeland (PV)";"    2787"
"A-U All economic activities";"2016";"Zeeland (PV)";"    3259"
"A-U All economic activities";"2017";"Zeeland (PV)";"    2724"
"A-U All economic activities";"2018";"Zeeland (PV)";"    3568"
"A-U All economic activities";"2019";"Zeeland (PV)";"    4109"
"A-U All economic activities";"2020";"Zeeland (PV)";"    5090"
"A-U All economic activities";"2021";"Zeeland (PV)";"    5080"
"A-U All economic activities";"2015";"Noord-Brabant (PV)";"   18384"
"A-U All economic activities";"2016";"Noord-Brabant (PV)";"   19941"
"A-U All economic activities";"2017";"Noord-Brabant (PV)";"   21999"
"A-U All economic activities";"2018";"Noord-Brabant (PV)";"   24412"
"A-U All economic activities";"2019";"Noord-Brabant (PV)";"   24745"
"A-U All economic activities";"2020";"Noord-Brabant (PV)";"   23994"
"A-U All economic activities";"2021";"Noord-Brabant (PV)";"   26568"
"A-U All economic activities";"2015";"Limburg (PV)";"    7513"
"A-U All economic activities";"2016";"Limburg (PV)";"    7821"
"A-U All economic activities";"2017";"Limburg (PV)";"    8818"
"A-U All economic activities";"2018";"Limburg (PV)";"    8868"
"A-U All economic activities";"2019";"Limburg (PV)";"    9640"
"A-U All economic activities";"2020";"Limburg (PV)";"    9450"
"A-U All economic activities";"2021";"Limburg (PV)";"   10405"
